Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 78.32      1.12     1.12  2514540     0.00     0.00  Ofs<doublecomplex >::ofs_smult(Ofs<doublecomplex > const&, doublecomplex  const&)
 15.38      1.34     0.22    83818     0.00     0.02  void Oftsh<Ofs<doublecomplex > >::sevaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&)
  2.45      1.38     0.04  5155332     0.00     0.00  FTDA::nmon(int, int)
  0.70      1.39     0.01  2430722     0.00     0.00  FTDA::prxkt(int*, int)
  0.70      1.40     0.01    20376     0.00     0.00  Ofs<doublecomplex >::zero()
  0.70      1.41     0.01    11974     0.00     0.00  Ofs<doublecomplex >::evaluate(double const&)
  0.70      1.42     0.01     8832     0.00     0.00  evaluateOdd(double, double, int, double*, double*)
  0.70      1.43     0.01     7140     0.00     0.00  Ofs<doublecomplex >::Ofs(Ofs<doublecomplex > const&)
  0.35      1.43     0.01                             FTDA::free()
  0.00      1.43     0.00   435540     0.00     0.00  Ofs<doublecomplex >::setCoef(doublecomplex  const&, int const&)
  0.00      1.43     0.00    15542     0.00     0.00  Ofs<doublecomplex >::~Ofs()
  0.00      1.43     0.00    15540     0.00     0.00  Ofs<doublecomplex >::operator=(Ofs<doublecomplex > const&)
  0.00      1.43     0.00    14720     0.00     0.00  evaluateEven(double, double, int, double*, double*)
  0.00      1.43     0.00    12880     0.00     0.00  Oftsh<Ofs<doublecomplex > >::lcopy(Oftsh<Ofs<doublecomplex > > const&)
  0.00      1.43     0.00    12008     0.00     0.00  std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::operator[](unsigned long)
  0.00      1.43     0.00    11974     0.00     0.12  void Ofts<Ofs<doublecomplex > >::evaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&, int const&)
  0.00      1.43     0.00    10808     0.00     0.00  std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::size() const
  0.00      1.43     0.00    10768     0.00     0.00  std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_M_range_check(unsigned long) const
  0.00      1.43     0.00    10768     0.00     0.00  std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::at(unsigned long)
  0.00      1.43     0.00     8480     0.00     0.00  binomial(unsigned long, unsigned long)
  0.00      1.43     0.00     8402     0.00     0.00  Ofs<doublecomplex >::Ofs(int)
  0.00      1.43     0.00     7378     0.00     0.00  Ofts<Ofs<doublecomplex > >::getNV() const
  0.00      1.43     0.00     7140     0.00     0.00  readOFS(Ofs<doublecomplex >&, std::basic_ifstream<char, std::char_traits<char> >&, int)
  0.00      1.43     0.00     7140     0.00     0.00  Ofts<Ofs<doublecomplex > >::getCoef(int const&, int const&) const
  0.00      1.43     0.00     7140     0.00     0.00  Oftsh<Ofs<doublecomplex > >::getCA() const
  0.00      1.43     0.00     7140     0.00     0.00  Oftsh<Ofs<doublecomplex > >::getCoef(int) const
  0.00      1.43     0.00     5888     0.00     0.00  evaluateEvenDerivative(double, double, int, double*, double*)
  0.00      1.43     0.00     2944     0.00     0.00  evaluateCoef(double*, double, double, int, double*)
  0.00      1.43     0.00     2944     0.00     0.00  qbfbp_vfn_novar(double, double const*, double*, void*)
  0.00      1.43     0.00     2944     0.00     0.00  evaluateOddDerivative(double, double, int, double*, double*)
  0.00      1.43     0.00     2944     0.00     0.00  evaluateCoefDerivatives(double*, double, double, int, double*, int)
  0.00      1.43     0.00     2692     0.00     0.47  qbfbp_fh(double, double const*, double*, void*)
  0.00      1.43     0.00      280     0.00     0.00  Oftsh<Ofs<doublecomplex > >::linkCoefs(Ofs<doublecomplex >*)
  0.00      1.43     0.00      280     0.00     0.00  Oftsh<Ofs<doublecomplex > >::Oftsh(int, int)
  0.00      1.43     0.00      280     0.00     0.00  Oftsh<Ofs<doublecomplex > >::~Oftsh()
  0.00      1.43     0.00      272     0.00     0.00  Ofts<Ofs<doublecomplex > >::getOrder() const
  0.00      1.43     0.00      102     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      1.43     0.00       68     0.00     0.00  Ofts<Ofs<doublecomplex > >* std::__addressof<Ofts<Ofs<doublecomplex > > >(Ofts<Ofs<doublecomplex > >&)
  0.00      1.43     0.00       60     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.43     0.00       40     0.00     0.00  Ofts<Ofs<doublecomplex > >::~Ofts()
  0.00      1.43     0.00       34     0.00     0.00  readOFTS(Ofts<Ofs<doublecomplex > >&, std::string, int)
  0.00      1.43     0.00       34     0.00     0.40  Ofts<Ofs<doublecomplex > >::Ofts(Ofts<Ofs<doublecomplex > > const&)
  0.00      1.43     0.00       34     0.00     0.40  void std::_Construct<Ofts<Ofs<doublecomplex > >, Ofts<Ofs<doublecomplex > > >(Ofts<Ofs<doublecomplex > >*, Ofts<Ofs<doublecomplex > > const&)
  0.00      1.43     0.00       34     0.00     0.00  void std::_Destroy<Ofts<Ofs<doublecomplex > > >(Ofts<Ofs<doublecomplex > >*)
  0.00      1.43     0.00       34     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.43     0.00       34     0.00     0.00  gnuplot_cmd
  0.00      1.43     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Ofts<Ofs<doublecomplex > > >::~new_allocator()
  0.00      1.43     0.00       12     0.00     0.00  std::allocator<Ofts<Ofs<doublecomplex > > >::~allocator()
  0.00      1.43     0.00       12     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      1.43     0.00       12     0.00     0.00  std::_Vector_base<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_M_get_Tp_allocator()
  0.00      1.43     0.00       12     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.43     0.00       10     0.00     0.00  energy(double*, double)
  0.00      1.43     0.00       10     0.00     0.00  init_libp(LibrationPoint*, CR3BP, int)
  0.00      1.43     0.00        6     0.00     0.02  readVOFTS(std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::string, int)
  0.00      1.43     0.00        6     0.00     0.11  Ofts<Ofs<doublecomplex > >::Ofts()
  0.00      1.43     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Ofts<Ofs<doublecomplex > > >::deallocate(Ofts<Ofs<doublecomplex > >*, unsigned long)
  0.00      1.43     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Ofts<Ofs<doublecomplex > > >::allocate(unsigned long, void const*)
  0.00      1.43     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Ofts<Ofs<doublecomplex > > >::new_allocator(__gnu_cxx::new_allocator<Ofts<Ofs<doublecomplex > > > const&)
  0.00      1.43     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Ofts<Ofs<doublecomplex > > >::new_allocator()
  0.00      1.43     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Ofts<Ofs<doublecomplex > > >::max_size() const
  0.00      1.43     0.00        6     0.00     0.00  std::allocator<Ofts<Ofs<doublecomplex > > >::allocator(std::allocator<Ofts<Ofs<doublecomplex > > > const&)
  0.00      1.43     0.00        6     0.00     0.00  std::allocator<Ofts<Ofs<doublecomplex > > >::allocator()
  0.00      1.43     0.00        6     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Ofts<Ofs<doublecomplex > >*>(Ofts<Ofs<doublecomplex > >*, Ofts<Ofs<doublecomplex > >*)
  0.00      1.43     0.00        6     0.00     0.00  std::_Vector_base<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_M_allocate(unsigned long)
  0.00      1.43     0.00        6     0.00     0.00  std::_Vector_base<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_Vector_impl::_Vector_impl(std::allocator<Ofts<Ofs<doublecomplex > > > const&)
  0.00      1.43     0.00        6     0.00     0.00  std::_Vector_base<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_Vector_impl::~_Vector_impl()
  0.00      1.43     0.00        6     0.00     0.00  std::_Vector_base<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_M_deallocate(Ofts<Ofs<doublecomplex > >*, unsigned long)
  0.00      1.43     0.00        6     0.00     0.00  std::_Vector_base<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_M_create_storage(unsigned long)
  0.00      1.43     0.00        6     0.00     0.00  std::_Vector_base<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_Vector_base(unsigned long, std::allocator<Ofts<Ofs<doublecomplex > > > const&)
  0.00      1.43     0.00        6     0.00     0.00  std::_Vector_base<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::~_Vector_base()
